,id,label,hemisphere,structure,scale,yeo_7,von_economo
67,68,7Networks_RH_DorsAttn_Post_2,R,cortex,scale122,,
68,69,7Networks_RH_DorsAttn_Post_3,R,cortex,scale122,,
69,70,7Networks_RH_DorsAttn_Post_4,R,cortex,scale122,,
70,71,7Networks_RH_DorsAttn_Post_5,R,cortex,scale122,,
71,72,7Networks_RH_DorsAttn_FEF_1,R,cortex,scale122,,
72,73,7Networks_RH_DorsAttn_FEF_2,R,cortex,scale122,,
73,74,7Networks_RH_SalVentAttn_TempOccPar_1,R,cortex,scale122,,
74,75,7Networks_RH_SalVentAttn_TempOccPar_2,R,cortex,scale122,,
75,76,7Networks_RH_SalVentAttn_FrOper_1,R,cortex,scale122,,
76,77,7Networks_RH_SalVentAttn_Med_1,R,cortex,scale122,,
77,78,7Networks_RH_SalVentAttn_Med_2,R,cortex,scale122,,
78,79,7Networks_RH_Limbic_OFC_1,R,cortex,scale122,,
79,80,7Networks_RH_Limbic_TempPole_1,R,cortex,scale122,,
80,81,7Networks_RH_Cont_Par_1,R,cortex,scale122,,
81,82,7Networks_RH_Cont_Par_2,R,cortex,scale122,,
82,83,7Networks_RH_Cont_PFCl_1,R,cortex,scale122,,
83,84,7Networks_RH_Cont_PFCl_2,R,cortex,scale122,,
84,85,7Networks_RH_Cont_PFCl_3,R,cortex,scale122,,
85,86,7Networks_RH_Cont_PFCl_4,R,cortex,scale122,,
86,87,7Networks_RH_Cont_PFCmp_1,R,cortex,scale122,,
87,88,7Networks_RH_Cont_PFCmp_2,R,cortex,scale122,,
88,89,7Networks_RH_Cont_PFCmp_3,R,cortex,scale122,,
89,90,7Networks_RH_Default_Par_1,R,cortex,scale122,,
90,91,7Networks_RH_Default_Temp_1,R,cortex,scale122,,
91,92,7Networks_RH_Default_Temp_2,R,cortex,scale122,,
92,93,7Networks_RH_Default_Temp_3,R,cortex,scale122,,
93,94,7Networks_RH_Default_PFCv_1,R,cortex,scale122,,
94,95,7Networks_RH_Default_PFCv_2,R,cortex,scale122,,
95,96,7Networks_RH_Default_PFCm_1,R,cortex,scale122,,
96,97,7Networks_RH_Default_PFCm_2,R,cortex,scale122,,
97,98,7Networks_RH_Default_PFCm_3,R,cortex,scale122,,
98,99,7Networks_RH_Default_PCC_1,R,cortex,scale122,,
99,100,7Networks_RH_Default_PCC_2,R,cortex,scale122,,
100,101,Left red nucleus,L,subcortex,scale122,,
101,102,Right red nucleus,R,subcortex,scale122,,
102,103,Left substantia nigra,L,subcortex,scale122,,
103,104,Right substantia nigra,R,subcortex,scale122,,
104,105,Left subthalamic nucleus,L,subcortex,scale122,,
105,106,Right subthalamic nucleus,R,subcortex,scale122,,
106,107,Left caudate,L,subcortex,scale122,,
107,108,Right caudate,R,subcortex,scale122,,
108,109,Left putamen,L,subcortex,scale122,,
109,110,Right putamen,R,subcortex,scale122,,
110,111,Left globus pallidus externa,L,subcortex,scale122,,
111,112,Right globus pallidus externa,R,subcortex,scale122,,
112,113,Left globus pallidus interna,L,subcortex,scale122,,
113,114,Right globus pallidus interna,R,subcortex,scale122,,
114,115,Left thalamus,L,subcortex,scale122,,
115,116,Right thalamus,R,subcortex,scale122,,
116,117,Left hippocampus,L,subcortex,scale122,,
117,118,Right hippocampus,R,subcortex,scale122,,
118,119,Left nucleus accumbens,L,subcortex,scale122,,
119,120,Right nucleus accumbens,R,subcortex,scale122,,
120,121,Left amygdala,L,subcortex,scale122,,
121,122,Right amygdala,R,subcortex,scale122,,
122,1,7Networks_LH_Vis_1,L,cortex,scale222,,
123,2,7Networks_LH_Vis_2,L,cortex,scale222,,
124,3,7Networks_LH_Vis_3,L,cortex,scale222,,
125,4,7Networks_LH_Vis_4,L,cortex,scale222,,
126,5,7Networks_LH_Vis_5,L,cortex,scale222,,
127,6,7Networks_LH_Vis_6,L,cortex,scale222,,
128,7,7Networks_LH_Vis_7,L,cortex,scale222,,
129,8,7Networks_LH_Vis_8,L,cortex,scale222,,
130,9,7Networks_LH_Vis_9,L,cortex,scale222,,
131,10,7Networks_LH_Vis_10,L,cortex,scale222,,
132,11,7Networks_LH_Vis_11,L,cortex,scale222,,
133,12,7Networks_LH_Vis_12,L,cortex,scale222,,
134,13,7Networks_LH_Vis_13,L,cortex,scale222,,
135,14,7Networks_LH_Vis_14,L,cortex,scale222,,
136,15,7Networks_LH_SomMot_1,L,cortex,scale222,,
137,16,7Networks_LH_SomMot_2,L,cortex,scale222,,
138,17,7Networks_LH_SomMot_3,L,cortex,scale222,,
139,18,7Networks_LH_SomMot_4,L,cortex,scale222,,
140,19,7Networks_LH_SomMot_5,L,cortex,scale222,,
141,20,7Networks_LH_SomMot_6,L,cortex,scale222,,
142,21,7Networks_LH_SomMot_7,L,cortex,scale222,,
143,22,7Networks_LH_SomMot_8,L,cortex,scale222,,
144,23,7Networks_LH_SomMot_9,L,cortex,scale222,,
145,24,7Networks_LH_SomMot_10,L,cortex,scale222,,
146,25,7Networks_LH_SomMot_11,L,cortex,scale222,,
147,26,7Networks_LH_SomMot_12,L,cortex,scale222,,
148,27,7Networks_LH_SomMot_13,L,cortex,scale222,,
149,28,7Networks_LH_SomMot_14,L,cortex,scale222,,
150,29,7Networks_LH_SomMot_15,L,cortex,scale222,,
151,30,7Networks_LH_SomMot_16,L,cortex,scale222,,
152,31,7Networks_LH_DorsAttn_Post_1,L,cortex,scale222,,
153,32,7Networks_LH_DorsAttn_Post_2,L,cortex,scale222,,
154,33,7Networks_LH_DorsAttn_Post_3,L,cortex,scale222,,
155,34,7Networks_LH_DorsAttn_Post_4,L,cortex,scale222,,
156,35,7Networks_LH_DorsAttn_Post_5,L,cortex,scale222,,
157,36,7Networks_LH_DorsAttn_Post_6,L,cortex,scale222,,
158,37,7Networks_LH_DorsAttn_Post_7,L,cortex,scale222,,
159,38,7Networks_LH_DorsAttn_Post_8,L,cortex,scale222,,
160,39,7Networks_LH_DorsAttn_Post_9,L,cortex,scale222,,
161,40,7Networks_LH_DorsAttn_Post_10,L,cortex,scale222,,
162,41,7Networks_LH_DorsAttn_FEF_1,L,cortex,scale222,,
163,42,7Networks_LH_DorsAttn_FEF_2,L,cortex,scale222,,
164,43,7Networks_LH_DorsAttn_PrCv_1,L,cortex,scale222,,
165,44,7Networks_LH_SalVentAttn_ParOper_1,L,cortex,scale222,,
166,45,7Networks_LH_SalVentAttn_ParOper_2,L,cortex,scale222,,
167,46,7Networks_LH_SalVentAttn_ParOper_3,L,cortex,scale222,,
168,47,7Networks_LH_SalVentAttn_FrOper_1,L,cortex,scale222,,
169,48,7Networks_LH_SalVentAttn_FrOper_2,L,cortex,scale222,,
170,49,7Networks_LH_SalVentAttn_FrOper_3,L,cortex,scale222,,
171,50,7Networks_LH_SalVentAttn_FrOper_4,L,cortex,scale222,,
172,51,7Networks_LH_SalVentAttn_PFCl_1,L,cortex,scale222,,
173,52,7Networks_LH_SalVentAttn_Med_1,L,cortex,scale222,,
174,53,7Networks_LH_SalVentAttn_Med_2,L,cortex,scale222,,
175,54,7Networks_LH_SalVentAttn_Med_3,L,cortex,scale222,,
176,55,7Networks_LH_Limbic_OFC_1,L,cortex,scale222,,
177,56,7Networks_LH_Limbic_OFC_2,L,cortex,scale222,,
178,57,7Networks_LH_Limbic_TempPole_1,L,cortex,scale222,,
179,58,7Networks_LH_Limbic_TempPole_2,L,cortex,scale222,,
180,59,7Networks_LH_Limbic_TempPole_3,L,cortex,scale222,,
181,60,7Networks_LH_Limbic_TempPole_4,L,cortex,scale222,,
182,61,7Networks_LH_Cont_Par_1,L,cortex,scale222,,
183,62,7Networks_LH_Cont_Par_2,L,cortex,scale222,,
184,63,7Networks_LH_Cont_Par_3,L,cortex,scale222,,
185,64,7Networks_LH_Cont_Temp_1,L,cortex,scale222,,
186,65,7Networks_LH_Cont_PFCl_1,L,cortex,scale222,,
187,66,7Networks_LH_Cont_PFCl_2,L,cortex,scale222,,
188,67,7Networks_LH_Cont_PFCl_3,L,cortex,scale222,,
189,68,7Networks_LH_Cont_PFCl_4,L,cortex,scale222,,
190,69,7Networks_LH_Cont_PFCl_5,L,cortex,scale222,,
191,70,7Networks_LH_Cont_PFCl_6,L,cortex,scale222,,
192,71,7Networks_LH_Cont_pCun_1,L,cortex,scale222,,
193,72,7Networks_LH_Cont_Cing_1,L,cortex,scale222,,
194,73,7Networks_LH_Cont_Cing_2,L,cortex,scale222,,
195,74,7Networks_LH_Default_Temp_1,L,cortex,scale222,,
196,75,7Networks_LH_Default_Temp_2,L,cortex,scale222,,
197,76,7Networks_LH_Default_Temp_3,L,cortex,scale222,,
198,77,7Networks_LH_Default_Temp_4,L,cortex,scale222,,
199,78,7Networks_LH_Default_Temp_5,L,cortex,scale222,,
200,79,7Networks_LH_Default_Temp_6,L,cortex,scale222,,
201,80,7Networks_LH_Default_Temp_7,L,cortex,scale222,,
202,81,7Networks_LH_Default_Temp_8,L,cortex,scale222,,
203,82,7Networks_LH_Default_Temp_9,L,cortex,scale222,,
204,83,7Networks_LH_Default_PFC_1,L,cortex,scale222,,
205,84,7Networks_LH_Default_PFC_2,L,cortex,scale222,,
206,85,7Networks_LH_Default_PFC_3,L,cortex,scale222,,
207,86,7Networks_LH_Default_PFC_4,L,cortex,scale222,,
208,87,7Networks_LH_Default_PFC_5,L,cortex,scale222,,
209,88,7Networks_LH_Default_PFC_6,L,cortex,scale222,,
210,89,7Networks_LH_Default_PFC_7,L,cortex,scale222,,
211,90,7Networks_LH_Default_PFC_8,L,cortex,scale222,,
212,91,7Networks_LH_Default_PFC_9,L,cortex,scale222,,
213,92,7Networks_LH_Default_PFC_10,L,cortex,scale222,,
214,93,7Networks_LH_Default_PFC_11,L,cortex,scale222,,
215,94,7Networks_LH_Default_PFC_12,L,cortex,scale222,,
216,95,7Networks_LH_Default_PFC_13,L,cortex,scale222,,
217,96,7Networks_LH_Default_PCC_1,L,cortex,scale222,,
218,97,7Networks_LH_Default_PCC_2,L,cortex,scale222,,
219,98,7Networks_LH_Default_PCC_3,L,cortex,scale222,,
220,99,7Networks_LH_Default_PCC_4,L,cortex,scale222,,
221,100,7Networks_LH_Default_PHC_1,L,cortex,scale222,,
222,101,7Networks_RH_Vis_1,R,cortex,scale222,,
223,102,7Networks_RH_Vis_2,R,cortex,scale222,,
224,103,7Networks_RH_Vis_3,R,cortex,scale222,,
225,104,7Networks_RH_Vis_4,R,cortex,scale222,,
226,105,7Networks_RH_Vis_5,R,cortex,scale222,,
227,106,7Networks_RH_Vis_6,R,cortex,scale222,,
228,107,7Networks_RH_Vis_7,R,cortex,scale222,,
229,108,7Networks_RH_Vis_8,R,cortex,scale222,,
230,109,7Networks_RH_Vis_9,R,cortex,scale222,,
231,110,7Networks_RH_Vis_10,R,cortex,scale222,,
232,111,7Networks_RH_Vis_11,R,cortex,scale222,,
233,112,7Networks_RH_Vis_12,R,cortex,scale222,,
234,113,7Networks_RH_Vis_13,R,cortex,scale222,,
235,114,7Networks_RH_Vis_14,R,cortex,scale222,,
236,115,7Networks_RH_Vis_15,R,cortex,scale222,,
237,116,7Networks_RH_SomMot_1,R,cortex,scale222,,
238,117,7Networks_RH_SomMot_2,R,cortex,scale222,,
239,118,7Networks_RH_SomMot_3,R,cortex,scale222,,
240,119,7Networks_RH_SomMot_4,R,cortex,scale222,,
241,120,7Networks_RH_SomMot_5,R,cortex,scale222,,
242,121,7Networks_RH_SomMot_6,R,cortex,scale222,,
243,122,7Networks_RH_SomMot_7,R,cortex,scale222,,
244,123,7Networks_RH_SomMot_8,R,cortex,scale222,,
245,124,7Networks_RH_SomMot_9,R,cortex,scale222,,
246,125,7Networks_RH_SomMot_10,R,cortex,scale222,,
247,126,7Networks_RH_SomMot_11,R,cortex,scale222,,
248,127,7Networks_RH_SomMot_12,R,cortex,scale222,,
249,128,7Networks_RH_SomMot_13,R,cortex,scale222,,
250,129,7Networks_RH_SomMot_14,R,cortex,scale222,,
251,130,7Networks_RH_SomMot_15,R,cortex,scale222,,
252,131,7Networks_RH_SomMot_16,R,cortex,scale222,,
253,132,7Networks_RH_SomMot_17,R,cortex,scale222,,
254,133,7Networks_RH_SomMot_18,R,cortex,scale222,,
255,134,7Networks_RH_SomMot_19,R,cortex,scale222,,
256,135,7Networks_RH_DorsAttn_Post_1,R,cortex,scale222,,
257,136,7Networks_RH_DorsAttn_Post_2,R,cortex,scale222,,
258,137,7Networks_RH_DorsAttn_Post_3,R,cortex,scale222,,
259,138,7Networks_RH_DorsAttn_Post_4,R,cortex,scale222,,
260,139,7Networks_RH_DorsAttn_Post_5,R,cortex,scale222,,
261,140,7Networks_RH_DorsAttn_Post_6,R,cortex,scale222,,
262,141,7Networks_RH_DorsAttn_Post_7,R,cortex,scale222,,
263,142,7Networks_RH_DorsAttn_Post_8,R,cortex,scale222,,
264,143,7Networks_RH_DorsAttn_Post_9,R,cortex,scale222,,
265,144,7Networks_RH_DorsAttn_Post_10,R,cortex,scale222,,
266,145,7Networks_RH_DorsAttn_FEF_1,R,cortex,scale222,,
267,146,7Networks_RH_DorsAttn_FEF_2,R,cortex,scale222,,
268,147,7Networks_RH_DorsAttn_PrCv_1,R,cortex,scale222,,
269,148,7Networks_RH_SalVentAttn_TempOccPar_1,R,cortex,scale222,,
270,149,7Networks_RH_SalVentAttn_TempOccPar_2,R,cortex,scale222,,
271,150,7Networks_RH_SalVentAttn_TempOccPar_3,R,cortex,scale222,,
272,151,7Networks_RH_SalVentAttn_PrC_1,R,cortex,scale222,,
273,152,7Networks_RH_SalVentAttn_FrOper_1,R,cortex,scale222,,
274,153,7Networks_RH_SalVentAttn_FrOper_2,R,cortex,scale222,,
275,154,7Networks_RH_SalVentAttn_FrOper_3,R,cortex,scale222,,
276,155,7Networks_RH_SalVentAttn_FrOper_4,R,cortex,scale222,,
277,156,7Networks_RH_SalVentAttn_Med_1,R,cortex,scale222,,
278,157,7Networks_RH_SalVentAttn_Med_2,R,cortex,scale222,,
279,158,7Networks_RH_SalVentAttn_Med_3,R,cortex,scale222,,
280,159,7Networks_RH_Limbic_OFC_1,R,cortex,scale222,,
281,160,7Networks_RH_Limbic_OFC_2,R,cortex,scale222,,
282,161,7Networks_RH_Limbic_OFC_3,R,cortex,scale222,,
283,162,7Networks_RH_Limbic_TempPole_1,R,cortex,scale222,,
284,163,7Networks_RH_Limbic_TempPole_2,R,cortex,scale222,,
285,164,7Networks_RH_Limbic_TempPole_3,R,cortex,scale222,,
286,165,7Networks_RH_Cont_Par_1,R,cortex,scale222,,
287,166,7Networks_RH_Cont_Par_2,R,cortex,scale222,,
288,167,7Networks_RH_Cont_Par_3,R,cortex,scale222,,
289,168,7Networks_RH_Cont_Temp_1,R,cortex,scale222,,
290,169,7Networks_RH_Cont_PFCv_1,R,cortex,scale222,,
291,170,7Networks_RH_Cont_PFCl_1,R,cortex,scale222,,
292,171,7Networks_RH_Cont_PFCl_2,R,cortex,scale222,,
293,172,7Networks_RH_Cont_PFCl_3,R,cortex,scale222,,
294,173,7Networks_RH_Cont_PFCl_4,R,cortex,scale222,,
295,174,7Networks_RH_Cont_PFCl_5,R,cortex,scale222,,
296,175,7Networks_RH_Cont_PFCl_6,R,cortex,scale222,,
297,176,7Networks_RH_Cont_PFCl_7,R,cortex,scale222,,
298,177,7Networks_RH_Cont_pCun_1,R,cortex,scale222,,
299,178,7Networks_RH_Cont_PFCmp_1,R,cortex,scale222,,
300,179,7Networks_RH_Cont_PFCmp_2,R,cortex,scale222,,
301,180,7Networks_RH_Cont_PFCmp_3,R,cortex,scale222,,
302,181,7Networks_RH_Cont_PFCmp_4,R,cortex,scale222,,
303,182,7Networks_RH_Default_Par_1,R,cortex,scale222,,
304,183,7Networks_RH_Default_Par_2,R,cortex,scale222,,
305,184,7Networks_RH_Default_Par_3,R,cortex,scale222,,
306,185,7Networks_RH_Default_Temp_1,R,cortex,scale222,,
307,186,7Networks_RH_Default_Temp_2,R,cortex,scale222,,
308,187,7Networks_RH_Default_Temp_3,R,cortex,scale222,,
309,188,7Networks_RH_Default_Temp_4,R,cortex,scale222,,
310,189,7Networks_RH_Default_Temp_5,R,cortex,scale222,,
311,190,7Networks_RH_Default_PFCv_1,R,cortex,scale222,,
312,191,7Networks_RH_Default_PFCm_1,R,cortex,scale222,,
313,192,7Networks_RH_Default_PFCm_2,R,cortex,scale222,,
314,193,7Networks_RH_Default_PFCm_3,R,cortex,scale222,,
315,194,7Networks_RH_Default_PFCm_4,R,cortex,scale222,,
316,195,7Networks_RH_Default_PFCm_5,R,cortex,scale222,,
317,196,7Networks_RH_Default_PFCm_6,R,cortex,scale222,,
318,197,7Networks_RH_Default_PFCm_7,R,cortex,scale222,,
319,198,7Networks_RH_Default_PCC_1,R,cortex,scale222,,
320,199,7Networks_RH_Default_PCC_2,R,cortex,scale222,,
321,200,7Networks_RH_Default_PCC_3,R,cortex,scale222,,
322,201,Left red nucleus,L,subcortex,scale222,,
323,202,Right red nucleus,R,subcortex,scale222,,
324,203,Left substantia nigra,L,subcortex,scale222,,
325,204,Right substantia nigra,R,subcortex,scale222,,
326,205,Left subthalamic nucleus,L,subcortex,scale222,,
327,206,Right subthalamic nucleus,R,subcortex,scale222,,
328,207,Left caudate,L,subcortex,scale222,,
329,208,Right caudate,R,subcortex,scale222,,
330,209,Left putamen,L,subcortex,scale222,,
331,210,Right putamen,R,subcortex,scale222,,
332,211,Left globus pallidus externa,L,subcortex,scale222,,
333,212,Right globus pallidus externa,R,subcortex,scale222,,
334,213,Left globus pallidus interna,L,subcortex,scale222,,
335,214,Right globus pallidus interna,R,subcortex,scale222,,
336,215,Left thalamus,L,subcortex,scale222,,
337,216,Right thalamus,R,subcortex,scale222,,
338,217,Left hippocampus,L,subcortex,scale222,,
339,218,Right hippocampus,R,subcortex,scale222,,
340,219,Left nucleus accumbens,L,subcortex,scale222,,
341,220,Right nucleus accumbens,R,subcortex,scale222,,
342,221,Left amygdala,L,subcortex,scale222,,
343,222,Right amygdala,R,subcortex,scale222,,
344,1,7Networks_LH_Vis_1,L,cortex,scale322,,
345,2,7Networks_LH_Vis_2,L,cortex,scale322,,
346,3,7Networks_LH_Vis_3,L,cortex,scale322,,
347,4,7Networks_LH_Vis_4,L,cortex,scale322,,
348,5,7Networks_LH_Vis_5,L,cortex,scale322,,
349,6,7Networks_LH_Vis_6,L,cortex,scale322,,
350,7,7Networks_LH_Vis_7,L,cortex,scale322,,
351,8,7Networks_LH_Vis_8,L,cortex,scale322,,
352,9,7Networks_LH_Vis_9,L,cortex,scale322,,
353,10,7Networks_LH_Vis_10,L,cortex,scale322,,
354,11,7Networks_LH_Vis_11,L,cortex,scale322,,
355,12,7Networks_LH_Vis_12,L,cortex,scale322,,
356,13,7Networks_LH_Vis_13,L,cortex,scale322,,
357,14,7Networks_LH_Vis_14,L,cortex,scale322,,
358,15,7Networks_LH_Vis_15,L,cortex,scale322,,
359,16,7Networks_LH_Vis_16,L,cortex,scale322,,
360,17,7Networks_LH_Vis_17,L,cortex,scale322,,
361,18,7Networks_LH_Vis_18,L,cortex,scale322,,
362,19,7Networks_LH_Vis_19,L,cortex,scale322,,
363,20,7Networks_LH_Vis_20,L,cortex,scale322,,
364,21,7Networks_LH_Vis_21,L,cortex,scale322,,
365,22,7Networks_LH_Vis_22,L,cortex,scale322,,
366,23,7Networks_LH_Vis_23,L,cortex,scale322,,
367,24,7Networks_LH_Vis_24,L,cortex,scale322,,
368,25,7Networks_LH_SomMot_1,L,cortex,scale322,,
369,26,7Networks_LH_SomMot_2,L,cortex,scale322,,
370,27,7Networks_LH_SomMot_3,L,cortex,scale322,,
371,28,7Networks_LH_SomMot_4,L,cortex,scale322,,
372,29,7Networks_LH_SomMot_5,L,cortex,scale322,,
373,30,7Networks_LH_SomMot_6,L,cortex,scale322,,
374,31,7Networks_LH_SomMot_7,L,cortex,scale322,,
375,32,7Networks_LH_SomMot_8,L,cortex,scale322,,
376,33,7Networks_LH_SomMot_9,L,cortex,scale322,,
377,34,7Networks_LH_SomMot_10,L,cortex,scale322,,
378,35,7Networks_LH_SomMot_11,L,cortex,scale322,,
379,36,7Networks_LH_SomMot_12,L,cortex,scale322,,
380,37,7Networks_LH_SomMot_13,L,cortex,scale322,,
381,38,7Networks_LH_SomMot_14,L,cortex,scale322,,
382,39,7Networks_LH_SomMot_15,L,cortex,scale322,,
383,40,7Networks_LH_SomMot_16,L,cortex,scale322,,
384,41,7Networks_LH_SomMot_17,L,cortex,scale322,,
385,42,7Networks_LH_SomMot_18,L,cortex,scale322,,
386,43,7Networks_LH_SomMot_19,L,cortex,scale322,,
387,44,7Networks_LH_SomMot_20,L,cortex,scale322,,
388,45,7Networks_LH_SomMot_21,L,cortex,scale322,,
389,46,7Networks_LH_SomMot_22,L,cortex,scale322,,
390,47,7Networks_LH_SomMot_23,L,cortex,scale322,,
391,48,7Networks_LH_SomMot_24,L,cortex,scale322,,
392,49,7Networks_LH_SomMot_25,L,cortex,scale322,,
393,50,7Networks_LH_SomMot_26,L,cortex,scale322,,
394,51,7Networks_LH_SomMot_27,L,cortex,scale322,,
395,52,7Networks_LH_SomMot_28,L,cortex,scale322,,
396,53,7Networks_LH_SomMot_29,L,cortex,scale322,,
397,54,7Networks_LH_DorsAttn_Post_1,L,cortex,scale322,,
398,55,7Networks_LH_DorsAttn_Post_2,L,cortex,scale322,,
399,56,7Networks_LH_DorsAttn_Post_3,L,cortex,scale322,,
400,57,7Networks_LH_DorsAttn_Post_4,L,cortex,scale322,,
401,58,7Networks_LH_DorsAttn_Post_5,L,cortex,scale322,,
402,59,7Networks_LH_DorsAttn_Post_6,L,cortex,scale322,,
403,60,7Networks_LH_DorsAttn_Post_7,L,cortex,scale322,,
404,61,7Networks_LH_DorsAttn_Post_8,L,cortex,scale322,,
405,62,7Networks_LH_DorsAttn_Post_9,L,cortex,scale322,,
406,63,7Networks_LH_DorsAttn_Post_10,L,cortex,scale322,,
407,64,7Networks_LH_DorsAttn_Post_11,L,cortex,scale322,,
408,65,7Networks_LH_DorsAttn_Post_12,L,cortex,scale322,,
409,66,7Networks_LH_DorsAttn_FEF_1,L,cortex,scale322,,
410,67,7Networks_LH_DorsAttn_FEF_2,L,cortex,scale322,,
411,68,7Networks_LH_DorsAttn_FEF_3,L,cortex,scale322,,
412,69,7Networks_LH_DorsAttn_PrCv_1,L,cortex,scale322,,
413,70,7Networks_LH_SalVentAttn_ParOper_1,L,cortex,scale322,,
414,71,7Networks_LH_SalVentAttn_ParOper_2,L,cortex,scale322,,
415,72,7Networks_LH_SalVentAttn_ParOper_3,L,cortex,scale322,,
416,73,7Networks_LH_SalVentAttn_TempOcc_1,L,cortex,scale322,,
417,74,7Networks_LH_SalVentAttn_FrOper_1,L,cortex,scale322,,
418,75,7Networks_LH_SalVentAttn_FrOper_2,L,cortex,scale322,,
419,76,7Networks_LH_SalVentAttn_FrOper_3,L,cortex,scale322,,
420,77,7Networks_LH_SalVentAttn_FrOper_4,L,cortex,scale322,,
421,78,7Networks_LH_SalVentAttn_FrOper_5,L,cortex,scale322,,
422,79,7Networks_LH_SalVentAttn_FrOper_6,L,cortex,scale322,,
423,80,7Networks_LH_SalVentAttn_FrOper_7,L,cortex,scale322,,
424,81,7Networks_LH_SalVentAttn_PFCl_1,L,cortex,scale322,,
